clone name	Well index culture plate	Plate_well_new
1-3	A3	plate1_A3
1-5	A5	plate1_A5
1-6	A6	plate1_A6
1-7	A7	plate1_A7
1-8	A8	plate1_A8
1-9	A9	plate1_A9
1-12	A12	plate1_A12
1-15	B3	plate1_B3
1-17	B5	plate1_B5
1-19	B7	plate1_B7
1-20	B8	plate1_B8
1-21	B9	plate1_B9
1-22	B10	plate1_B10
1-23	B11	plate1_B11
1-26	C2	plate1_C2
1-29	C5	plate1_C5
1-30	C6	plate1_C6
1-32	C8	plate1_C8
1-33	C9	plate1_C9
1-34	C10	plate1_C10
1-36	C12	plate1_C12
1-38	D2	plate1_D2
1-39	D3	plate1_D3
1-40	D4	plate1_D4
1-41	D5	plate1_D5
1-42	D6	plate1_D6
1-43	D7	plate1_D7
1-44	D8	plate1_D8
1-45	D9	plate1_D9
1-47	D11	plate1_D11
1-48	D12	plate1_D12
1-49	E1	plate1_E1
1-50	E2	plate1_E2
1-52	E4	plate1_E4
1-53	E5	plate1_E5
1-54	E6	plate1_E6
1-55	E7	plate1_E7
1-56	E8	plate1_E8
1-60	E12	plate1_E12
1-62	F2	plate1_F2
1-63	F3	plate1_F3
1-64	F4	plate1_F4
1-66	F6	plate1_F6
1-68	F8	plate1_F8
1-69	F9	plate1_F9
1-70	F10	plate1_F10
1-71	F11	plate1_F11
1-72	F12	plate1_F12
1-73	G1	plate1_G1
1-77	G5	plate1_G5
1-79	G7	plate1_G7
1-80	G8	plate1_G8
1-81	G9	plate1_G9
1-83	G11	plate1_G11
1-84	G12	plate1_G12
1-85	H1	plate1_H1
1-87	H3	plate1_H3
1-90	H6	plate1_H6
1-91	H7	plate1_H7
1-92	H8	plate1_H8
1-94	H10	plate1_H10
1-96	H12	plate1_H12
2-13	A1	plate25_A1
2-25	A2	plate25_A2
2-37	A3	plate25_A3
2-40	A4	plate25_A4
2-43	A5	plate25_A5
2-44	A6	plate25_A6
2-45	A7	plate25_A7
2-46	A8	plate25_A8
2-52	A9	plate25_A9
2-55	A10	plate25_A10
2-58	A11	plate25_A11
2-59	A12	plate25_A12
2-61	B1	plate25_B1
2-68	B2	plate25_B2
2-69	B3	plate25_B3
2-73	B4	plate25_B4
2-76	B5	plate25_B5
2-77	B6	plate25_B6
2-79	B7	plate25_B7
2-85	B8	plate25_B8
2-86	B9	plate25_B9
2-89	B10	plate25_B10
2-90	B11	plate25_B11
2-91	B12	plate25_B12
2-95	C1	plate25_C1
3-13	A1	plate3645_A1
3-15	A2	plate3645_A2
3-20	A3	plate3645_A3
3-25	A4	plate3645_A4
3-31	A5	plate3645_A5
3-32	A6	plate3645_A6
3-33	A7	plate3645_A7
3-42	A8	plate3645_A8
3-49	A9	plate3645_A9
3-50	A10	plate3645_A10
3-52	A11	plate3645_A11
3-54	A12	plate3645_A12
3-55	B1	plate3645_B1
3-59	B2	plate3645_B2
3-68	B3	plate3645_B3
3-69	B4	plate3645_B4
3-78	B5	plate3645_B5
3-86	B6	plate3645_B6
3-88	B7	plate3645_B7
3-91	B8	plate3645_B8
3-96	B9	plate3645_B9
4-1	D12	plate3645_D12
4-2	E1	plate3645_E1
4-3	E2	plate3645_E2
4-4	E3	plate3645_E3
4-5	E4	plate3645_E4
4-10	E5 	plate3645_E5 
4-11	E6	plate3645_E6
4-16	E7	plate3645_E7
4-18	E8	plate3645_E8
4-19	E9	plate3645_E9
4-23	E10	plate3645_E10
4-27	E11	plate3645_E11
4-31	E12	plate3645_E12
4-40	F1	plate3645_F1
4-46	F2	plate3645_F2
4-47	F3	plate3645_F3
4-48	F4	plate3645_F4
4-54	F5	plate3645_F5
4-62	F6	plate3645_F6
4-64	F7	plate3645_F7
4-74	F8	plate3645_F8
4-77	F9	plate3645_F9
4-79	F10	plate3645_F10
4-83	F11	plate3645_F11
4-84	F12	plate3645_F12
4-89	G1	plate3645_G1
4-92	G2	plate3645_G2
4-94	G3	plate3645_G3
4-95	G4	plate3645_G4
5-3	G5	plate3645_G5
5-11	G6	plate3645_G6
5-24	G7	plate3645_G7
5-25	G8	plate3645_G8
5-28	G9	plate3645_G9
5-46	G10	plate3645_G10
5-53	G11	plate3645_G11
5-54	G12	plate3645_G12
5-55	H1	plate3645_H1
5-57	H2	plate3645_H2
5-60	H3	plate3645_H3
5-66	H4	plate3645_H4
5-67	H5	plate3645_H5
5-70	H6	plate3645_H6
5-76	H7	plate3645_H7
5-79	H8	plate3645_H8
5-80	H9	plate3645_H9
5-82	H10	plate3645_H10
5-86	H11	plate3645_H11
5-88	H12	plate3645_H12
5-95	D1	plate25_D1
5-96	D2	plate25_D2
6-1	B10	plate3645_B10
6-7	B11	plate3645_B11
6-11	B12	plate3645_B12
6-12	C1	plate3645_C1
6-13	C2	plate3645_C2
6-15	C3	plate3645_C3
6-17	C4	plate3645_C4
6-20	C5	plate3645_C5
6-23	C6	plate3645_C6
6-29	C7	plate3645_C7
6-30	C8	plate3645_C8
6-39	C9	plate3645_C9
6-43	C10	plate3645_C10
6-44	C11	plate3645_C11
6-47	C12	plate3645_C12
6-54	D1	plate3645_D1
6-62	D2	plate3645_D2
6-67	D3	plate3645_D3
6-68	D4	plate3645_D4
6-69	D5	plate3645_D5
6-71	D6	plate3645_D6
6-75	D7	plate3645_D7
6-76	D8	plate3645_D8
6-83	D9	plate3645_D9
6-89	D10	plate3645_D10
6-96	D11	plate3645_D11
