filename	sample_corrected	insert	Selection_mCh	Selection_PCR	Comments
pCM043_A1_A01.fcs	pCM043_A1_A01.fcs	pCM043			
pCM043_A2_A02.fcs	pCM043_A2_A02.fcs	pCM043			
pCM043_A3_A03.fcs	pCM043_A3_A03.fcs	pCM043			
pCM043_A4_A04.fcs	pCM043_A4_A04.fcs	pCM043			
pCM043_A5_A05.fcs	pCM043_A5_A05.fcs	pCM043			
pCM043_A6_A06.fcs	pCM043_A6_A06.fcs	pCM043		no_band	
pCM043_A7_A07.fcs	pCM043_A7_A07.fcs	pCM043			
pCM043_A8_A08.fcs	pCM043_A8_A08.fcs	pCM043		no_band	
pCM043_A9_A09.fcs	pCM043_A9_A09.fcs	pCM043			
pCM043_A11_A11.fcs	pCM043_A11_A11.fcs	pCM043			
pCM043_A12_A12.fcs	pCM043_A12_A12.fcs	pCM043			
pCM044_B1_B01.fcs	pCM044_B1_B01.fcs	pCM044			
pCM044_B2_B02.fcs	pCM044_B2_B02.fcs	pCM044			
pCM044_B3_B03.fcs	pCM044_B3_B03.fcs	pCM044			
pCM044_B4_B04.fcs	pCM044_B4_B04.fcs	pCM044			
pCM044_B5_B05.fcs	pCM044_B5_B05.fcs	pCM044			
pCM044_B6_B06.fcs	pCM044_B6_B06.fcs	pCM044			
pCM044_B7_B07.fcs	pCM044_B7_B07.fcs	pCM044	mCh_neg	no_band	
pCM044_B8_B08.fcs	pCM044_B8_B08.fcs	pCM044		no_band	
pCM044_B9_B09.fcs	pCM044_B9_B09.fcs	pCM044			
pCM044_B10_B10.fcs	pCM044_B10_B10.fcs	pCM044			
pCM044_B11_B11.fcs	pCM044_B11_B11.fcs	pCM044			
pCM044_B12_B12.fcs	pCM044_B12_B12.fcs	pCM044			
pCM045_C1_C01.fcs	pCM045_C1_C01.fcs	pCM045			
pCM045_C2_C02.fcs	pCM045_C2_C02.fcs	pCM045		no_band	
pCM045_C3_C03.fcs	pCM045_C3_C03.fcs	pCM045			
pCM045_C4_C04.fcs	pCM045_C4_C04.fcs	pCM045			
pCM045_C5_C05.fcs	pCM045_C5_C05.fcs	pCM045			
pCM045_C6_C06.fcs	pCM045_C6_C06.fcs	pCM045	mCh_neg		
pCM045_C7_C07.fcs	pCM045_C7_C07.fcs	pCM045	mCh_neg	no_band	
pCM045_C8_C08.fcs	pCM045_C8_C08.fcs	pCM045		no_band	
pCM045_C9_C09.fcs	pCM045_C9_C09.fcs	pCM045			
pCM045_C10_C10.fcs	pCM045_C10_C10.fcs	pCM045			
pCM045_C11_C11.fcs	pCM045_C11_C11.fcs	pCM045		no_band	
pCM045_C12_C12.fcs	pCM045_C12_C12.fcs	pCM045			
pME040_E1_E01.fcs	pME040_E1_E01.fcs	pME040			
pME040_E2_E02.fcs	pME040_E2_E02.fcs	pME040		no_band	
pCM038_E1_E01.fcs	pCM038_E1_E01.fcs	pCM038		no_band	
pCM038_E2_E02.fcs	pCM038_E2_E02.fcs	pCM038			
pCM038_E3_E03.fcs	pCM038_E3_E03.fcs	pCM038			
pCM038_E4_E04.fcs	pCM038_E4_E04.fcs	pCM038			
pCM038_E5_E05.fcs	pCM038_E5_E05.fcs	pCM038			
pCM038_E6_E06.fcs	pCM038_E6_E06.fcs	pCM038			
pCM038_E7_E07.fcs	pCM038_E7_E07.fcs	pCM038		no_band	
pCM038_E8_E08.fcs	pCM038_E8_E08.fcs	pCM038			
pCM038_E9_E09.fcs	pCM038_E9_E09.fcs	pCM038			
pCM038_E11_E11.fcs	pCM038_E11_E11.fcs	pCM038			
pCM038_E12_E12.fcs	pCM038_E12_E12.fcs	pCM038			
pCM039_F1_F01.fcs	pCM039_F1_F01.fcs	pCM039			
pCM039_F2_F02.fcs	pCM039_F2_F02.fcs	pCM039			
pCM039_F3_F03.fcs	pCM039_F3_F03.fcs	pCM039			
pCM039_F4_F04.fcs	pCM039_F4_F04.fcs	pCM039	mCh_neg		partially
pCM039_F5_F05.fcs	pCM039_F5_F05.fcs	pCM039			
pCM039_F6_F06.fcs	pCM039_F6_F06.fcs	pCM039			
pCM039_F7_F07.fcs	pCM039_F7_F07.fcs	pCM039			
pCM039_F8_F08.fcs	pCM039_F8_F08.fcs	pCM039			
pCM039_F9_F09.fcs	pCM039_F9_F09.fcs	pCM039			
pCM039_F10_F10.fcs	pCM039_F10_F10.fcs	pCM039			
pCM039_F11_F11.fcs	pCM039_F11_F11.fcs	pCM039			
pCM039_F12_F12.fcs	pCM039_F12_F12.fcs	pCM039	mCh_neg	no_band	
pCM040_G1_G01.fcs	pCM040_G1_G01.fcs	pCM040		no_band	
pCM040_G2_G02.fcs	pCM040_G2_G02.fcs	pCM040			
pCM040_G3_G03.fcs	pCM040_G3_G03.fcs	pCM040			
pCM040_G4_G04.fcs	pCM040_G4_G04.fcs	pCM040	mCh_neg		partially
pCM040_G5_G05.fcs	pCM040_G5_G05.fcs	pCM040			
pCM040_G6_G06.fcs	pCM040_G6_G06.fcs	pCM040			
pCM040_G7_G07.fcs	pCM040_G7_G07.fcs	pCM040			
pCM040_G8_G08.fcs	pCM040_G8_G08.fcs	pCM040			
pCM040_G9_G09.fcs	pCM040_G9_G09.fcs	pCM040			
pCM040_G10_G10.fcs	pCM040_G10_G10.fcs	pCM040			
pCM040_G11_G11.fcs	pCM040_G11_G11.fcs	pCM040			
pCM040_G12_G12.fcs	pCM040_G12_G12.fcs	pCM040			
pCM041_H1_H01.fcs	pCM041_H1_H01.fcs	pCM041			
pCM041_H2_H02.fcs	pCM041_H2_H02.fcs	pCM041			slightly bimodal mTurq
pCM041_H3_H03.fcs	pCM041_H3_H03.fcs	pCM041			
pCM041_H4_H04.fcs	pCM041_H4_H04.fcs	pCM041			
pCM041_H5_H05.fcs	pCM041_H5_H05.fcs	pCM041			
pCM041_H6_H06.fcs	pCM041_H6_H06.fcs	pCM041			
pCM041_H7_H07.fcs	pCM041_H7_H07.fcs	pCM041			
pCM041_H8_H08.fcs	pCM041_H8_H08.fcs	pCM041	mCh_neg		
pCM041_H9_H09.fcs	pCM041_H9_H09.fcs	pCM041		no_band	
