experiment	cell_line	mCh_status	population	mTurq	replicate	mCherry_selection	construct
E2712	23_34A	mCh	P3	3703	rep4	mCh+	34
E2712	23_34A	mCh	P4	1959	rep4	mCh+	34
E2712	23_34A	mCh	P5	972	rep4	mCh+	34
E2716	C10_34	mCh	P1	35509	rep1	mCh+	34
E2716	C10_34	mCh	P2	8940	rep1	mCh+	34
E2716	C10_34	mCh	P3	4436	rep1	mCh+	34
E2716	C10_34	mCh	P4	1950	rep1	mCh+	34
E2716	C10_34	mCh	P5	518	rep1	mCh+	34
E2716	C10_34	mCh	P6	295	rep1	mCh+	34
E2285	23_34A	mCh	P1	22147	rep3	mCh+	34
E2285	23_34A	mCh	P2	7683	rep3	mCh+	34
E2285	23_34A	mCh	P3	3615	rep3	mCh+	34
E2285	23_34A	mCh	P4	1861	rep3	mCh+	34
E2285	23_34A	mCh	P5	817	rep3	mCh+	34
E2285	23_34A	mCh	P6	337	rep3	mCh+	34
E2138	23_34A	mCh	P1	25412	rep1	none	34
E2138	23_34A	mCh	P2	7259	rep1	none	34
E2138	23_34A	mCh	P3	3637	rep1	none	34
E2138	23_34A	mCh	P4	1928	rep1	none	34
E2138	23_34A	mCh	P5	929	rep1	none	34
E2138	23_34A	mCh	P6	303	rep1	none	34
E2282	23_34A	mCh	P1	24654	rep2	mCh+	34
E2282	23_34A	mCh	P2	7146	rep2	mCh+	34
E2282	23_34A	mCh	P3	3797	rep2	mCh+	34
E2282	23_34A	mCh	P4	2025	rep2	mCh+	34
E2282	23_34A	mCh	P5	963	rep2	mCh+	34
E2282	23_34A	mCh	P6	310	rep2	mCh+	34
E2555	C9_mCh_34	mCh	P1	23400.5	rep1	mCh+	34
E2555	C9_mCh_34	mCh	P2	9397	rep1	mCh+	34
E2555	C9_mCh_34	mCh	P3	4336	rep1	mCh+	34
E2555	C9_mCh_34	mCh	P4	2171	rep1	mCh+	34
E2555	C9_mCh_34	mCh	P5	507	rep1	mCh+	34
E2555	C9_mCh_34	mCh	P6	302	rep1	mCh+	34
E2555	C9_mCh-_34	mCh-	P1	24534	rep1	mCh-	34
E2555	C9_mCh-_34	mCh-	P2	7858	rep1	mCh-	34
E2555	C9_mCh-_34	mCh-	P3	4177	rep1	mCh-	34
E2555	C9_mCh-_34	mCh-	P4	2195	rep1	mCh-	34
E2555	C9_mCh-_34	mCh-	P5	1152	rep1	mCh-	34
E2555	C9_mCh-_34	mCh-	P6	307	rep1	mCh-	34
E2555	C9_mCh_41	mCh	P1	NA	rep1	mCh+	41
E2555	C9_mCh_41	mCh	P2	7173	rep1	mCh+	41
E2555	C9_mCh_41	mCh	P3	4164	rep1	mCh+	41
E2555	C9_mCh_41	mCh	P4	2055	rep1	mCh+	41
E2555	C9_mCh_41	mCh	P5	528	rep1	mCh+	41
E2555	C9_mCh_41	mCh	P6	313	rep1	mCh+	41
E2555	C9_mCh_34	mCh	P1	23400.5	rep2	mCh+	34
E2555	C9_mCh_34	mCh	P2	10443	rep2	mCh+	34
E2555	C9_mCh_34	mCh	P3	4512	rep2	mCh+	34
E2555	C9_mCh_34	mCh	P4	2127	rep2	mCh+	34
E2555	C9_mCh_34	mCh	P5	539	rep2	mCh+	34
E2555	C9_mCh_34	mCh	P6	267	rep2	mCh+	34
E2555	C9_mCh-_34	mCh-	P1	29309	rep2	mCh-	34
E2555	C9_mCh-_34	mCh-	P2	8616	rep2	mCh-	34
E2555	C9_mCh-_34	mCh-	P3	4290	rep2	mCh-	34
E2555	C9_mCh-_34	mCh-	P4	2183	rep2	mCh-	34
E2555	C9_mCh-_34	mCh-	P5	1088	rep2	mCh-	34
E2555	C9_mCh-_34	mCh-	P6	296	rep2	mCh-	34
E2555	C9_mCh_41	mCh	P1	NA	rep2	mCh+	41
E2555	C9_mCh_41	mCh	P2	7660	rep2	mCh+	41
E2555	C9_mCh_41	mCh	P3	4483	rep2	mCh+	41
E2555	C9_mCh_41	mCh	P4	2072	rep2	mCh+	41
E2555	C9_mCh_41	mCh	P5	551	rep2	mCh+	41
E2555	C9_mCh_41	mCh	P6	249	rep2	mCh+	41
E2716	C9_mCh-_34	mCh-	P1_H	39782	rep3	mCh-	34
E2716	C9_mCh-_34	mCh-	P1_L	23510	rep3	mCh-	34
E2712	C9_mCh-_34	mCh-	P2	7572	rep3	mCh-	34
E2712	C9_mCh-_34	mCh-	P3	3986	rep3	mCh-	34
E2712	C9_mCh-_34	mCh-	P4	2068	rep3	mCh-	34
E2712	C9_mCh-_34	mCh-	P5	1081	rep3	mCh-	34
E2712	C9_mCh-_34	mCh-	P6	286	rep3	mCh-	34
E2716	C9_mCh-_34	mCh-	P1_H	44127	rep4	mCh-	34
E2716	C9_mCh-_34	mCh-	P1_L	24216	rep4	mCh-	34
E2712	C9_mCh-_34	mCh-	P2	7663	rep4	mCh-	34
E2712	C9_mCh-_34	mCh-	P3	4054	rep4	mCh-	34
E2712	C9_mCh-_34	mCh-	P4	2131	rep4	mCh-	34
E2712	C9_mCh-_34	mCh-	P5	1128	rep4	mCh-	34
E2712	C9_mCh-_34	mCh-	P6	306	rep4	mCh-	34
E2716	C9_mCh-_34	mCh-	P2_H	11753	rep4	mCh-	34
E2716	C9_mCh-_34	mCh-	P2_L	7346	rep4	mCh-	34
