ID	Forward	Reverse	home_location	home_sequence	hybrid
clone_E2270_23_34A_A1	clone_E2270_23_34A_A1_Fw	clone_E2270_23_34A_A1_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_A2	clone_E2270_23_34A_A2_Fw	clone_E2270_23_34A_A2_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_A3	clone_E2270_23_34A_A3_Fw	clone_E2270_23_34A_A3_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_A4	clone_E2270_23_34A_A4_Fw	clone_E2270_23_34A_A4_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_A5	clone_E2270_23_34A_A5_Fw	clone_E2270_23_34A_A5_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_A7	clone_E2270_23_34A_A7_Fw	clone_E2270_23_34A_A7_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_A8	clone_E2270_23_34A_A8_Fw	clone_E2270_23_34A_A8_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_A9	clone_E2270_23_34A_A9_Fw	clone_E2270_23_34A_A9_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_A10	clone_E2270_23_34A_A10_Fw	clone_E2270_23_34A_A10_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_A11	clone_E2270_23_34A_A11_Fw	clone_E2270_23_34A_A11_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_A12	clone_E2270_23_34A_A12_Fw	clone_E2270_23_34A_A12_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_B1	clone_E2270_23_34A_B1_Fw	clone_E2270_23_34A_B1_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_B2	clone_E2270_23_34A_B2_Fw	clone_E2270_23_34A_B2_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_B3	clone_E2270_23_34A_B3_Fw	clone_E2270_23_34A_B3_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_B4	clone_E2270_23_34A_B4_Fw	clone_E2270_23_34A_B4_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_B5	clone_E2270_23_34A_B5_Fw	clone_E2270_23_34A_B5_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_B6	clone_E2270_23_34A_B6_Fw	clone_E2270_23_34A_B6_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_B7	clone_E2270_23_34A_B7_Fw	clone_E2270_23_34A_B7_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_B8	clone_E2270_23_34A_B8_Fw	clone_E2270_23_34A_B8_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_B9	clone_E2270_23_34A_B9_Fw	clone_E2270_23_34A_B9_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_B10	clone_E2270_23_34A_B10_Fw	clone_E2270_23_34A_B10_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_B11	clone_E2270_23_34A_B11_Fw	clone_E2270_23_34A_B11_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_B12	clone_E2270_23_34A_B12_Fw	clone_E2270_23_34A_B12_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_C1	clone_E2270_23_34A_C1_Fw	clone_E2270_23_34A_C1_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_C2	clone_E2270_23_34A_C2_Fw	clone_E2270_23_34A_C2_Rv	F1CBS_16	F1CBS_16	CAST-129S
clone_E2270_23_34A_C3	clone_E2270_23_34A_C3_Fw	clone_E2270_23_34A_C3_Rv	F1CBS_16	F1CBS_16	CAST-129S
