ID	Forward	Reverse	home_location	home_sequence	hybrid
rep1_34_mCh_ctrl	rep1_34_mCh_ctrl_Fw	rep1_34_mCh_ctrl_Rv	-	-	CAST-129S
rep1_34_mCh-_ctrl	rep1_34_mCh-_ctrl_Fw	rep1_34_mCh-_ctrl_Rv	-	-	CAST-129S
rep1_41_mCh_ctrl	rep1_41_mCh_ctrl_Fw	rep1_41_mCh_ctrl_Rv	-	-	CAST-129S
rep1_41_mCh-_ctrl	rep1_41_mCh-_ctrl_Fw	rep1_41_mCh-_ctrl_Rv	-	-	CAST-129S
rep1_34_mCh_P1_1	rep1_34_mCh_P1_1_Fw	rep1_34_mCh_P1_1_Rv	-	-	CAST-129S
rep1_34_mCh_P2_1	rep1_34_mCh_P2_1_Fw	rep1_34_mCh_P2_1_Rv	-	-	CAST-129S
rep1_34_mCh_P2_2	rep1_34_mCh_P2_2_Fw	rep1_34_mCh_P2_2_Rv	-	-	CAST-129S
rep1_34_mCh_P3_1	rep1_34_mCh_P3_1_Fw	rep1_34_mCh_P3_1_Rv	-	-	CAST-129S
rep1_34_mCh_P3_2	rep1_34_mCh_P3_2_Fw	rep1_34_mCh_P3_2_Rv	-	-	CAST-129S
rep1_34_mCh_P4_1	rep1_34_mCh_P4_1_Fw	rep1_34_mCh_P4_1_Rv	-	-	CAST-129S
rep1_34_mCh_P4_2	rep1_34_mCh_P4_2_Fw	rep1_34_mCh_P4_2_Rv	-	-	CAST-129S
rep1_34_mCh_P5_1	rep1_34_mCh_P5_1_Fw	rep1_34_mCh_P5_1_Rv	-	-	CAST-129S
rep1_34_mCh_P5_2	rep1_34_mCh_P5_2_Fw	rep1_34_mCh_P5_2_Rv	-	-	CAST-129S
rep1_34_mCh_P5_3	rep1_34_mCh_P5_3_Fw	rep1_34_mCh_P5_3_Rv	-	-	CAST-129S
rep1_34_mCh_P5_4	rep1_34_mCh_P5_4_Fw	rep1_34_mCh_P5_4_Rv	-	-	CAST-129S
rep1_34_mCh_P5_5	rep1_34_mCh_P5_5_Fw	rep1_34_mCh_P5_5_Rv	-	-	CAST-129S
rep1_34_mCh_P6_1	rep1_34_mCh_P6_1_Fw	rep1_34_mCh_P6_1_Rv	-	-	CAST-129S
rep1_34_mCh_P6_2	rep1_34_mCh_P6_2_Fw	rep1_34_mCh_P6_2_Rv	-	-	CAST-129S
rep1_34_mCh_P6_3	rep1_34_mCh_P6_3_Fw	rep1_34_mCh_P6_3_Rv	-	-	CAST-129S
rep1_34_mCh_P6_4	rep1_34_mCh_P6_4_Fw	rep1_34_mCh_P6_4_Rv	-	-	CAST-129S
rep1_34_mCh_P6_5	rep1_34_mCh_P6_5_Fw	rep1_34_mCh_P6_5_Rv	-	-	CAST-129S
rep1_41_mCh_P2_1	rep1_41_mCh_P2_1_Fw	rep1_41_mCh_P2_1_Rv	-	-	CAST-129S
rep1_41_mCh_P2_2	rep1_41_mCh_P2_2_Fw	rep1_41_mCh_P2_2_Rv	-	-	CAST-129S
rep1_41_mCh_P3_1	rep1_41_mCh_P3_1_Fw	rep1_41_mCh_P3_1_Rv	-	-	CAST-129S
rep1_41_mCh_P3_2	rep1_41_mCh_P3_2_Fw	rep1_41_mCh_P3_2_Rv	-	-	CAST-129S
rep1_41_mCh_P4_1	rep1_41_mCh_P4_1_Fw	rep1_41_mCh_P4_1_Rv	-	-	CAST-129S
rep1_41_mCh_P4_2	rep1_41_mCh_P4_2_Fw	rep1_41_mCh_P4_2_Rv	-	-	CAST-129S
rep1_41_mCh_P5_1	rep1_41_mCh_P5_1_Fw	rep1_41_mCh_P5_1_Rv	-	-	CAST-129S
rep1_41_mCh_P5_2	rep1_41_mCh_P5_2_Fw	rep1_41_mCh_P5_2_Rv	-	-	CAST-129S
rep1_41_mCh_P5_3	rep1_41_mCh_P5_3_Fw	rep1_41_mCh_P5_3_Rv	-	-	CAST-129S
rep1_41_mCh_P5_4	rep1_41_mCh_P5_4_Fw	rep1_41_mCh_P5_4_Rv	-	-	CAST-129S
rep1_41_mCh_P5_5	rep1_41_mCh_P5_5_Fw	rep1_41_mCh_P5_5_Rv	-	-	CAST-129S
rep1_41_mCh_P6_1	rep1_41_mCh_P6_1_Fw	rep1_41_mCh_P6_1_Rv	-	-	CAST-129S
