ID	Forward	Reverse	home_location	home_sequence	hybrid
ME-cl1	ME-cl1_Fw	ME-cl1_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl2	ME-cl2_Fw	ME-cl2_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl3	ME-cl3_Fw	ME-cl3_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl4	ME-cl4_Fw	ME-cl4_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl5	ME-cl5_Fw	ME-cl5_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl6	ME-cl6_Fw	ME-cl6_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl7	ME-cl7_Fw	ME-cl7_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl8	ME-cl8_Fw	ME-cl8_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl9	ME-cl9_Fw	ME-cl9_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl10	ME-cl10_Fw	ME-cl10_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl11	ME-cl11_Fw	ME-cl11_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl12	ME-cl12_Fw	ME-cl12_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl13	ME-cl13_Fw	ME-cl13_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl14	ME-cl14_Fw	ME-cl14_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl15	ME-cl15_Fw	ME-cl15_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl16	ME-cl16_Fw	ME-cl16_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl17	ME-cl17_Fw	ME-cl17_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl18	ME-cl18_Fw	ME-cl18_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl19	ME-cl19_Fw	ME-cl19_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl20	ME-cl20_Fw	ME-cl20_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl21	ME-cl21_Fw	ME-cl21_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl22	ME-cl22_Fw	ME-cl22_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl23	ME-cl23_Fw	ME-cl23_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl24	ME-cl24_Fw	ME-cl24_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl25	ME-cl25_Fw	ME-cl25_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl26	ME-cl26_Fw	ME-cl26_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl27	ME-cl27_Fw	ME-cl27_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl28	ME-cl28_Fw	ME-cl28_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl29	ME-cl29_Fw	ME-cl29_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl30	ME-cl30_Fw	ME-cl30_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl31	ME-cl31_Fw	ME-cl31_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl32	ME-cl32_Fw	ME-cl32_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl33	ME-cl33_Fw	ME-cl33_Rv	F1CBS_16	F1CBS_16	CAST-129S
ME-cl34	ME-cl34_Fw	ME-cl34_Rv	F1CBS_16	F1CBS_16	CAST-129S
mC-mTctrl1	mC-mTctrl1_Fw	mC-mTctrl1_Rv	F1CBS_16	F1CBS_16	CAST-129S
mC-mTctrl2	mC-mTctrl2_Fw	mC-mTctrl2_Rv	F1CBS_16	F1CBS_16	CAST-129S
mC-mT-cl1	mC-mT-cl1_Fw	mC-mT-cl1_Rv	F1CBS_16	F1CBS_16	CAST-129S
mC-mT-cl2	mC-mT-cl2_Fw	mC-mT-cl2_Rv	F1CBS_16	F1CBS_16	CAST-129S
mC-mT-cl3	mC-mT-cl3_Fw	mC-mT-cl3_Rv	F1CBS_16	F1CBS_16	CAST-129S
mC-mT-cl4	mC-mT-cl4_Fw	mC-mT-cl4_Rv	F1CBS_16	F1CBS_16	CAST-129S
mC-mT-cl5	mC-mT-cl5_Fw	mC-mT-cl5_Rv	F1CBS_16	F1CBS_16	CAST-129S
mC-mT-cl6	mC-mT-cl6_Fw	mC-mT-cl6_Rv	F1CBS_16	F1CBS_16	CAST-129S
mC-mT-cl7	mC-mT-cl7_Fw	mC-mT-cl7_Rv	F1CBS_16	F1CBS_16	CAST-129S
mC-mT-cl8	mC-mT-cl8_Fw	mC-mT-cl8_Rv	F1CBS_16	F1CBS_16	CAST-129S
mC-mT-cl9	mC-mT-cl9_Fw	mC-mT-cl9_Rv	F1CBS_16	F1CBS_16	CAST-129S
mC-mT-cl10	mC-mT-cl10_Fw	mC-mT-cl10_Rv	F1CBS_16	F1CBS_16	CAST-129S
mC-mT-cl11	mC-mT-cl11_Fw	mC-mT-cl11_Rv	F1CBS_16	F1CBS_16	CAST-129S
mC-mT-cl12	mC-mT-cl12_Fw	mC-mT-cl12_Rv	F1CBS_16	F1CBS_16	CAST-129S
