ID	Forward	Reverse	home_location	home_sequence	hybrid
23_A1_P2	1_23_A1_P2_Fw	88_23_A1_P2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_A2_P2	2_23_A2_P2_Fw	89_23_A2_P2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_A3_P2	3_23_A3_P2_Fw	90_23_A3_P2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_A4_P2	4_23_A4_P2_Fw	91_23_A4_P2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_A5_P2	5_23_A5_P2_Fw	92_23_A5_P2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_A6_P2	6_23_A6_P2_Fw	93_23_A6_P2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_A7_P2	7_23_A7_P2_Fw	94_23_A7_P2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_A8_P2	8_23_A8_P2_Fw	95_23_A8_P2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_A9_P2	9_23_A9_P2_Fw	96_23_A9_P2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_A10_P2	10_23_A10_P2_Fw	97_23_A10_P2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_A11_P2	11_23_A11_P2_Fw	98_23_A11_P2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_A12_P2	12_23_A12_P2_Fw	99_23_A12_P2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_B1_P2	13_23_B1_P2_Fw	100_23_B1_P2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_B2_P2	14_23_B2_P2_Fw	101_23_B2_P2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_B3_P2	15_23_B3_P2_Fw	102_23_B3_P2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_B4_P2	16_23_B4_P2_Fw	103_23_B4_P2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_B5_P2	17_23_B5_P2_Fw	104_23_B5_P2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_B6_P2	18_23_B6_P2_Fw	105_23_B6_P2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_B7_P2	19_23_B7_P2_Fw	106_23_B7_P2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_B8_P2	20_23_B8_P2_Fw	107_23_B8_P2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_C1_P7	25_23_C1_P7_Fw	112_23_C1_P7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_C3_P7	26_23_C3_P7_Fw	113_23_C3_P7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_C4_P7	27_23_C4_P7_Fw	114_23_C4_P7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_C5_P7	28_23_C5_P7_Fw	115_23_C5_P7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_C6_P7	29_23_C6_P7_Fw	116_23_C6_P7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_C7_P7	30_23_C7_P7_Fw	117_23_C7_P7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_C8_P7	31_23_C8_P7_Fw	118_23_C8_P7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_C9_P7	32_23_C9_P7_Fw	119_23_C9_P7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_C10_P7	33_23_C10_P7_Fw	120_23_C10_P7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_C11_P7	34_23_C11_P7_Fw	121_23_C11_P7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_C12_P7	35_23_C12_P7_Fw	122_23_C12_P7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_D1_P7	36_23_D1_P7_Fw	123_23_D1_P7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_D2_P7	37_23_D2_P7_Fw	124_23_D2_P7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_D3_P7	38_23_D3_P7_Fw	125_23_D3_P7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_D4_P7	39_23_D4_P7_Fw	126_23_D4_P7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_D5_P7	40_23_D5_P7_Fw	127_23_D5_P7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_D6_P7	41_23_D6_P7_Fw	128_23_D6_P7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_D7_P7	42_23_D7_P7_Fw	129_23_D7_P7_Rv	F1CBS_16	F1CBS_16	CAST-129S
