ID	Forward	Reverse	home_location	home_sequence	hybrid
CBS16_non_sorted_1	CBS16_non_sorted_1_Fw	CBS16_non_sorted_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_non_sorted_2	CBS16_non_sorted_2_Fw	CBS16_non_sorted_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_non_sorted_3	CBS16_non_sorted_3_Fw	CBS16_non_sorted_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_non_sorted_4	CBS16_non_sorted_4_Fw	CBS16_non_sorted_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_non_sorted_5	CBS16_non_sorted_5_Fw	CBS16_non_sorted_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_non_sorted_6	CBS16_non_sorted_6_Fw	CBS16_non_sorted_6_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_non_sorted_7	CBS16_non_sorted_7_Fw	CBS16_non_sorted_7_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_non_sorted_8	CBS16_non_sorted_8_Fw	CBS16_non_sorted_8_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_non_sorted_9	CBS16_non_sorted_9_Fw	CBS16_non_sorted_9_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_non_sorted_10	CBS16_non_sorted_10_Fw	CBS16_non_sorted_10_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_double_pos_1	CBS16_double_pos_1_Fw	CBS16_double_pos_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_double_pos_2	CBS16_double_pos_2_Fw	CBS16_double_pos_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_double_pos_3	CBS16_double_pos_3_Fw	CBS16_double_pos_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_double_pos_4	CBS16_double_pos_4_Fw	CBS16_double_pos_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_double_pos_5	CBS16_double_pos_5_Fw	CBS16_double_pos_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_double_pos_6	CBS16_double_pos_6_Fw	CBS16_double_pos_6_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_double_pos_7	CBS16_double_pos_7_Fw	CBS16_double_pos_7_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_double_pos_8	CBS16_double_pos_8_Fw	CBS16_double_pos_8_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_double_pos_9	CBS16_double_pos_9_Fw	CBS16_double_pos_9_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_double_pos_10	CBS16_double_pos_10_Fw	CBS16_double_pos_10_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_mCh_mid_1	CBS16_mCh_mid_1_Fw	CBS16_mCh_mid_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_mCh_mid_2	CBS16_mCh_mid_2_Fw	CBS16_mCh_mid_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_mCh_mid_3	CBS16_mCh_mid_3_Fw	CBS16_mCh_mid_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_mCh_mid_4	CBS16_mCh_mid_4_Fw	CBS16_mCh_mid_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
