ID	Forward	Reverse	home_location	home_sequence	hybrid
34A_P1_1	34A_P1_1_Fw	34A_P1_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P2_1	34A_P2_1_Fw	34A_P2_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P2_2	34A_P2_2_Fw	34A_P2_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P2_3	34A_P2_3_Fw	34A_P2_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P2_4	34A_P2_4_Fw	34A_P2_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P3_1	34A_P3_1_Fw	34A_P3_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P3_2	34A_P3_2_Fw	34A_P3_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P3_3	34A_P3_3_Fw	34A_P3_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P3_4	34A_P3_4_Fw	34A_P3_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P3_5	34A_P3_5_Fw	34A_P3_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P4_1	34A_P4_1_Fw	34A_P4_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P4_2	34A_P4_2_Fw	34A_P4_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P4_3	34A_P4_3_Fw	34A_P4_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P4_4	34A_P4_4_Fw	34A_P4_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P4_5	34A_P4_5_Fw	34A_P4_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P5_1	34A_P5_1_Fw	34A_P5_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P5_2	34A_P5_2_Fw	34A_P5_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P5_3	34A_P5_3_Fw	34A_P5_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P5_4	34A_P5_4_Fw	34A_P5_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P5_5	34A_P5_5_Fw	34A_P5_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P6_1	34A_P6_1_Fw	34A_P6_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P6_2	34A_P6_2_Fw	34A_P6_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P6_3	34A_P6_3_Fw	34A_P6_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P6_4	34A_P6_4_Fw	34A_P6_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_P6_5	34A_P6_5_Fw	34A_P6_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_ctrl_1	34A_ctrl_1_Fw	34A_ctrl_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_ctrl_2	34A_ctrl_2_Fw	34A_ctrl_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_ctrl_3	34A_ctrl_3_Fw	34A_ctrl_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_ctrl_4	34A_ctrl_4_Fw	34A_ctrl_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_ctrl_5	34A_ctrl_5_Fw	34A_ctrl_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_ctrl_6	34A_ctrl_6_Fw	34A_ctrl_6_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_ctrl_7	34A_ctrl_7_Fw	34A_ctrl_7_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_ctrl_8	34A_ctrl_8_Fw	34A_ctrl_8_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_ctrl_9	34A_ctrl_9_Fw	34A_ctrl_9_Rv	F1CBS_16	F1CBS_16	CAST-129S
34A_ctrl_10	34A_ctrl_10_Fw	34A_ctrl_10_Rv	F1CBS_16	F1CBS_16	CAST-129S
MK01_P1_1	MK01_P1_1_Fw	MK01_P1_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
MK01_P2_1	MK01_P2_1_Fw	MK01_P2_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
MK01_P2_2	MK01_P2_2_Fw	MK01_P2_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
MK01_P2_3	MK01_P2_3_Fw	MK01_P2_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
MK01_P2_4	MK01_P2_4_Fw	MK01_P2_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
MK01_P2_5	MK01_P2_5_Fw	MK01_P2_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
MK01_P3_1	MK01_P3_1_Fw	MK01_P3_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
MK01_P3_2	MK01_P3_2_Fw	MK01_P3_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
MK01_P3_3	MK01_P3_3_Fw	MK01_P3_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
MK01_P3_4	MK01_P3_4_Fw	MK01_P3_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
MK01_P3_5	MK01_P3_5_Fw	MK01_P3_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
MK01_P4_1	MK01_P4_1_Fw	MK01_P4_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
